"","task","algo.name","BAC","Highest.BAC","FScore","Highest.FScore"
"1","Aggregated","DT",TRUE,"balanced",TRUE,"balanced"
"2","Color Channels","DT",TRUE,"balanced",TRUE,"balanced"
"3","Complete","DT",TRUE,"balanced",FALSE,"balanced"
"4","Histograms","DT",FALSE,"balanced",TRUE,"original"
"5","Other Features","DT",TRUE,"balanced",FALSE,"balanced"
"6","Aggregated","KNN",TRUE,"original",TRUE,"original"
"7","Color Channels","KNN",TRUE,"original",TRUE,"original"
"8","Complete","KNN",FALSE,"original",TRUE,"original"
"9","Histograms","KNN",FALSE,"original",TRUE,"original"
"10","Other Features","KNN",FALSE,"balanced",TRUE,"original"
"11","Aggregated","Multinomial",FALSE,"balanced",FALSE,"balanced"
"12","Color Channels","Multinomial",TRUE,"original",TRUE,"original"
"13","Complete","Multinomial",FALSE,"balanced",FALSE,"balanced"
"14","Histograms","Multinomial",FALSE,"original",TRUE,"original"
"15","Other Features","Multinomial",FALSE,"original",TRUE,"original"
"16","Aggregated","RF",TRUE,"original",TRUE,"original"
"17","Color Channels","RF",TRUE,"original",TRUE,"original"
"18","Complete","RF",TRUE,"original",TRUE,"original"
"19","Histograms","RF",FALSE,"balanced",FALSE,"original"
"20","Other Features","RF",TRUE,"original",TRUE,"original"
"21","Aggregated","SVM",TRUE,"original",TRUE,"original"
"22","Color Channels","SVM",TRUE,"original",TRUE,"original"
"23","Complete","SVM",FALSE,"original",TRUE,"original"
"24","Histograms","SVM",TRUE,"original",TRUE,"original"
"25","Other Features","SVM",TRUE,"original",TRUE,"original"
"26","Aggregated","MLP",TRUE,"balanced",TRUE,"balanced"
"27","Color Channels","MLP",TRUE,"balanced",TRUE,"balanced"
"28","Complete","MLP",TRUE,"balanced",TRUE,"balanced"
"29","Histograms","MLP",TRUE,"balanced",FALSE,"balanced"
"30","Other Features","MLP",TRUE,"balanced",TRUE,"balanced"
"31","Aggregated","NB",FALSE,"original",FALSE,"original"
"32","Color Channels","NB",TRUE,"original",TRUE,"original"
"33","Complete","NB",FALSE,"balanced",FALSE,"balanced"
"34","Histograms","NB",TRUE,"original",TRUE,"original"
"35","Other Features","NB",FALSE,"original",FALSE,"balanced"
"36","Aggregated","Random",FALSE,"original",TRUE,"original"
"37","Color Channels","Random",FALSE,"balanced",TRUE,"original"
"38","Complete","Random",FALSE,"balanced",TRUE,"original"
"39","Histograms","Random",FALSE,"original",TRUE,"original"
"40","Other Features","Random",TRUE,"balanced",TRUE,"original"
"41","Aggregated","Majority",FALSE,"balanced",FALSE,"balanced"
"42","Color Channels","Majority",FALSE,"balanced",FALSE,"balanced"
"43","Complete","Majority",FALSE,"original",FALSE,"original"
"44","Histograms","Majority",FALSE,"original",FALSE,"balanced"
"45","Other Features","Majority",FALSE,"original",FALSE,"original"
